"lon","lat","biome"
289.75,81.75,22
290.25,81.75,22
290.75,81.75,22
291.25,81.75,22
291.75,81.75,27
292.25,81.75,22
292.75,81.75,27
293.25,81.75,27
293.75,81.75,27
294.25,81.75,27
313.25,81.75,27
313.75,81.75,27
314.25,81.75,27
314.75,81.75,27
315.25,81.75,27
315.75,81.75,27
316.25,81.75,27
316.75,81.75,27
317.25,81.75,28
317.75,81.75,28
318.25,81.75,28
318.75,81.75,28
319.25,81.75,28
319.75,81.75,28
320.25,81.75,28
320.75,81.75,26
321.25,81.75,26
321.75,81.75,26
322.25,81.75,26
322.75,81.75,26
323.25,81.75,26
323.75,81.75,26
324.25,81.75,22
324.75,81.75,22
325.25,81.75,22
325.75,81.75,22
326.25,81.75,22
326.75,81.75,27
327.25,81.75,27
327.75,81.75,27
328.25,81.75,27
328.75,81.75,22
329.25,81.75,22
329.75,81.75,22
330.25,81.75,22
330.75,81.75,22
331.25,81.75,22
331.75,81.75,22
332.25,81.75,22
332.75,81.75,27
333.25,81.75,27
333.75,81.75,27
334.25,81.75,27
334.75,81.75,27
335.25,81.75,27
268.75,81.25,22
269.25,81.25,22
269.75,81.25,22
270.25,81.25,22
270.75,81.25,22
271.25,81.25,22
271.75,81.25,22
272.25,81.25,22
272.75,81.25,22
273.25,81.25,22
273.75,81.25,22
274.25,81.25,22
274.75,81.25,22
275.25,81.25,22
275.75,81.25,22
276.25,81.25,26
276.75,81.25,26
277.25,81.25,26
277.75,81.25,26
278.25,81.25,26
278.75,81.25,26
279.25,81.25,26
279.75,81.25,26
280.25,81.25,22
280.75,81.25,22
281.25,81.25,22
281.75,81.25,22
282.25,81.25,26
282.75,81.25,22
283.25,81.25,26
283.75,81.25,22
284.25,81.25,22
284.75,81.25,22
285.25,81.25,22
285.75,81.25,22
286.25,81.25,22
286.75,81.25,22
287.25,81.25,22
287.75,81.25,22
288.25,81.25,22
288.75,81.25,22
289.25,81.25,22
289.75,81.25,22
290.25,81.25,22
290.75,81.25,22
291.25,81.25,22
291.75,81.25,22
292.25,81.25,22
292.75,81.25,22
293.25,81.25,22
293.75,81.25,22
294.25,81.25,27
294.75,81.25,27
295.25,81.25,27
295.75,81.25,22
296.25,81.25,22
296.75,81.25,22
297.25,81.25,22
297.75,81.25,22
298.25,81.25,22
298.75,81.25,22
299.25,81.25,26
299.75,81.25,26
300.25,81.25,26
300.75,81.25,27
301.25,81.25,27
301.75,81.25,27
302.25,81.25,26
302.75,81.25,26
303.25,81.25,26
303.75,81.25,26
304.25,81.25,26
304.75,81.25,26
305.25,81.25,26
305.75,81.25,26
306.25,81.25,26
306.75,81.25,26
307.25,81.25,26
307.75,81.25,26
308.25,81.25,26
308.75,81.25,26
309.25,81.25,26
309.75,81.25,28
310.25,81.25,28
310.75,81.25,28
311.25,81.25,28
311.75,81.25,28
312.25,81.25,28
312.75,81.25,28
313.25,81.25,28
313.75,81.25,28
314.25,81.25,28
314.75,81.25,28
315.25,81.25,28
315.75,81.25,28
316.25,81.25,28
316.75,81.25,28
317.25,81.25,28
317.75,81.25,28
318.25,81.25,28
318.75,81.25,28
319.25,81.25,28
319.75,81.25,28
320.25,81.25,28
320.75,81.25,28
321.25,81.25,28
321.75,81.25,28
322.25,81.25,28
322.75,81.25,28
323.25,81.25,28
323.75,81.25,28
324.25,81.25,28
324.75,81.25,28
325.25,81.25,28
325.75,81.25,28
326.25,81.25,28
326.75,81.25,28
327.25,81.25,28
327.75,81.25,28
328.25,81.25,28
328.75,81.25,28
329.25,81.25,28
329.75,81.25,28
330.25,81.25,28
330.75,81.25,28
331.25,81.25,28
331.75,81.25,22
332.25,81.25,22
332.75,81.25,22
333.25,81.25,22
333.75,81.25,22
334.25,81.25,22
334.75,81.25,22
335.25,81.25,22
335.75,81.25,22
336.25,81.25,22
336.75,81.25,22
337.25,81.25,22
337.75,81.25,22
338.25,81.25,22
338.75,81.25,22
339.25,81.25,22
339.75,81.25,22
340.25,81.25,22
340.75,81.25,22
341.25,81.25,22
341.75,81.25,22
342.25,81.25,22
342.75,81.25,22
268.25,80.75,26
268.75,80.75,26
269.25,80.75,22
269.75,80.75,22
270.25,80.75,22
270.75,80.75,22
271.25,80.75,22
271.75,80.75,22
272.25,80.75,22
272.75,80.75,22
273.25,80.75,22
273.75,80.75,22
274.25,80.75,22
274.75,80.75,22
275.25,80.75,22
275.75,80.75,22
276.25,80.75,22
276.75,80.75,22
277.25,80.75,22
277.75,80.75,22
278.25,80.75,22
278.75,80.75,22
279.25,80.75,22
279.75,80.75,22
280.25,80.75,22
280.75,80.75,22
281.25,80.75,22
281.75,80.75,22
282.25,80.75,26
282.75,80.75,26
283.25,80.75,26
283.75,80.75,26
284.25,80.75,26
284.75,80.75,22
285.25,80.75,26
285.75,80.75,26
286.25,80.75,22
286.75,80.75,22
287.25,80.75,22
287.75,80.75,22
288.25,80.75,22
288.75,80.75,22
289.25,80.75,22
289.75,80.75,22
290.25,80.75,22
290.75,80.75,22
291.25,80.75,22
291.75,80.75,22
292.25,80.75,22
292.75,80.75,22
293.25,80.75,22
293.75,80.75,22
294.25,80.75,22
294.75,80.75,22
295.25,80.75,22
295.75,80.75,22
296.25,80.75,22
296.75,80.75,22
297.25,80.75,22
297.75,80.75,22
298.25,80.75,22
298.75,80.75,22
299.25,80.75,22
299.75,80.75,22
300.25,80.75,26
300.75,80.75,26
301.25,80.75,26
301.75,80.75,26
302.25,80.75,26
302.75,80.75,27
303.25,80.75,27
303.75,80.75,27
304.25,80.75,27
304.75,80.75,27
305.25,80.75,27
305.75,80.75,27
306.25,80.75,27
306.75,80.75,27
307.25,80.75,27
307.75,80.75,27
308.25,80.75,27
308.75,80.75,27
309.25,80.75,26
309.75,80.75,28
310.25,80.75,28
310.75,80.75,28
311.25,80.75,28
311.75,80.75,28
312.25,80.75,28
312.75,80.75,28
313.25,80.75,28
313.75,80.75,28
314.25,80.75,28
314.75,80.75,28
315.25,80.75,28
315.75,80.75,28
316.25,80.75,28
316.75,80.75,28
317.25,80.75,28
317.75,80.75,28
318.25,80.75,28
318.75,80.75,28
319.25,80.75,28
319.75,80.75,28
320.25,80.75,28
320.75,80.75,28
321.25,80.75,28
321.75,80.75,28
322.25,80.75,28
322.75,80.75,28
323.25,80.75,28
323.75,80.75,28
324.25,80.75,28
324.75,80.75,28
325.25,80.75,28
325.75,80.75,28
326.25,80.75,28
326.75,80.75,28
327.25,80.75,28
327.75,80.75,28
328.25,80.75,28
328.75,80.75,28
329.25,80.75,28
329.75,80.75,28
330.25,80.75,28
330.75,80.75,28
331.25,80.75,28
331.75,80.75,28
332.25,80.75,22
332.75,80.75,22
333.25,80.75,22
333.75,80.75,22
334.25,80.75,22
334.75,80.75,22
335.25,80.75,22
335.75,80.75,22
336.25,80.75,22
336.75,80.75,22
337.25,80.75,22
337.75,80.75,22
338.25,80.75,22
338.75,80.75,22
339.25,80.75,22
339.75,80.75,22
340.25,80.75,22
340.75,80.75,22
341.25,80.75,22
341.75,80.75,22
342.25,80.75,22
342.75,80.75,22
268.25,80.25,26
268.75,80.25,26
269.25,80.25,26
269.75,80.25,26
270.25,80.25,22
270.75,80.25,22
271.25,80.25,22
271.75,80.25,22
272.25,80.25,22
272.75,80.25,22
273.25,80.25,22
273.75,80.25,22
274.25,80.25,22
274.75,80.25,22
275.25,80.25,22
275.75,80.25,22
276.25,80.25,22
276.75,80.25,22
277.25,80.25,22
277.75,80.25,22
278.25,80.25,22
278.75,80.25,22
279.25,80.25,26
279.75,80.25,26
280.25,80.25,26
280.75,80.25,26
281.25,80.25,26
281.75,80.25,26
282.25,80.25,26
282.75,80.25,26
283.25,80.25,26
283.75,80.25,26
284.25,80.25,26
284.75,80.25,26
285.25,80.25,26
285.75,80.25,22
286.25,80.25,22
286.75,80.25,22
287.25,80.25,22
